country,birth_year,avg_ur_std_18_25,avg_ur_std_18_24
AT,1952,-1.8058042121772089,-1.842584731317287
AT,1953,-1.7667945706650052,-1.7980022838747682
AT,1954,-1.7277849291528014,-1.7445033469437459
AT,1955,-1.6497656461283938,-1.6910044100127235
AT,1956,-1.5015290083820194,-1.6018395151276863
AT,1957,-1.3298865857283229,-1.450259193823123
AT,1958,-1.1738480196795076,-1.2808458935415523
AT,1959,-1.0178094536306925,-1.1114325932599816
AT,1960,-0.8461670309769957,-0.9420192929784108
AT,1961,-0.6511188234159769,-0.745856524231329
AT,1962,-0.4638725441573987,-0.5140277975302322
AT,1963,-0.32343783471346504,-0.3356980077601577
AT,1964,-0.2688243365963797,-0.25544960236362413
AT,1965,-0.24541855168905743,-0.23761662338661668
AT,1966,-0.20640891017685364,-0.21978364440960924
AT,1967,-0.18300312526953139,-0.18411768645559434
AT,1968,-0.1439934837573276,-0.18411768645559434
AT,1969,-0.1049838422451238,-0.1662847074785869
AT,1970,-0.05817227243047926,-0.10386928105906085
AT,1971,0.03545086719880985,-0.032537365151031075
AT,1972,0.14467786343298047,0.09229348768802108
AT,1973,0.23049907475982884,0.2082078510385695
AT,1974,0.2383010030622696,0.2795397669465993
AT,1975,0.2383010030622696,0.2973727459236068
AT,1976,0.20709328985250658,0.25279029848108814
AT,1977,0.18368750494518432,0.19037487206156212
AT,1978,0.19148943324762505,0.17254189308455467
AT,1979,0.2695087162720326,0.14579242461904343
AT,1980,0.35532992759888093,0.23495731950408066
AT,1981,0.4333492106232885,0.35087168285462905
AT,1982,0.5347742785550184,0.5024520041591923
AT,1983,0.581585848369663,0.6361993464867483
AT,1984,0.7220205578135966,0.6807817939292669
AT,1985,0.7922379125355634,0.805612646768319
AT,1986,0.8156436974428858,0.8591115836993414
AT,1987,0.7610301993258004,0.7699466888143042
AT,1988,0.7376244144184781,0.6986147729062744
AT,1989,0.7610301993258004,0.6986147729062744
AT,1990,0.8234456257453265,0.7610301993258005
AT,1991,0.9872861200965823,0.9126105206303637
AT,1992,1.0028899767014638,0.9839424365383934
AT,1993,1.0028899767014638,1.0463578629579195
AT,1994,0.9950880483990231,1.0731073314234307
AT,1995,1.0575034748185492,1.0374413734694157
AT,1996,1.0965131163307529,1.0641908419349269
AT,1997,1.0028899767014638,1.0820238209119344
AT,1998,0.9248706936770563,0.966109457561386
AT,1999,0.8234456257453264,0.8412786047223338
AT,2000,0.7766340559306819,0.7788631783028078
AT,2001,0.7766340559306819,0.7877796677913115
BE,1952,-1.758995569849402,-1.952288618045324
BE,1953,-1.4796205973557008,-1.664305453121845
BE,1954,-1.1838118029506055,-1.338759266686608
BE,1955,-0.8934809491826416,-1.0319945910072499
BE,1956,-0.48263540139778704,-0.7001879009867196
BE,1957,0.02133513721830132,-0.23691063567503587
BE,1958,0.39383510054323617,0.21384562246606176
BE,1959,0.6841659543112002,0.5581733196571781
BE,1960,0.8923276985221931,0.8398959809953641
BE,1961,1.0676217989103978,1.0464925993100338
BE,1962,1.2210041367500768,1.2343077068688244
BE,1963,1.2976953056699163,1.384559792915857
BE,1964,1.1771806116530257,1.3344757642335128
BE,1965,0.9142394610707187,1.084055620821792
BE,1966,0.6622541917626745,0.808593463068899
BE,1967,0.45957038818881296,0.5331313053160059
BE,1968,0.37192333799471067,0.34531619775721534
BE,1969,0.3445336348090537,0.25140864397782
BE,1970,0.32809981289765944,0.23262713322194087
BE,1971,0.3664453973575792,0.27645065831899196
BE,1972,0.4705262694630757,0.40792123361014543
BE,1973,0.6184306666656234,0.5769548304130571
BE,1974,0.738945360682514,0.7585094343865547
BE,1975,0.7334674200453826,0.85241698816595
BE,1976,0.6293865479398861,0.7585094343865547
BE,1977,0.5198277351972582,0.5769548304130571
BE,1978,0.4486145069145501,0.4517447587071966
BE,1979,0.3883571599061048,0.3703582120983874
BE,1980,0.34453363480905363,0.3140136798307501
BE,1981,0.2897542284377397,0.26392965114840594
BE,1982,0.22949688142929434,0.24514814039252691
BE,1983,0.22949688142929434,0.276450658318992
BE,1984,0.30071010971200246,0.3014926726601641
BE,1985,0.3445336348090537,0.3265346870013362
BE,1986,0.2842762878006083,0.3327951905866292
BE,1987,0.23497482206642573,0.2514086439778199
BE,1988,0.23497482206642573,0.18880360812488972
BE,1989,0.25140864397781987,0.2013246152954757
BE,1990,0.3116659909862652,0.27019015473369895
BE,1991,0.35548951608331636,0.37035821209838726
BE,1992,0.31166599098626524,0.36409770851309425
BE,1993,0.18019541569511172,0.288971665489578
BE,1994,0.08707042486387799,0.2138456224660617
BE,1995,-0.011532506604487113,0.08237504717490822
BE,1996,-0.13752514125850918,-0.0929190532132964
BE,1997,-0.3073413010095824,-0.2431711392603289
BE,1998,-0.482635401397787,-0.4372467504044126
BE,1999,-0.6031500954146777,-0.5874988364514452
BE,2000,-0.6634074424231231,-0.6814063902308405
BE,2001,-0.6743633236973858,-0.6751458866455475
DE,1952,-1.6934830973563517,-1.8054840724012673
DE,1953,-1.5148486308290179,-1.5899885254794042
DE,1954,-1.3659865753895728,-1.3915057848934778
DE,1955,-1.2320107254940726,-1.2383905278700487
DE,1956,-1.0186417793642015,-1.090946206291932
DE,1957,-0.7755004221464415,-0.9264890783778785
DE,1958,-0.5571694075019225,-0.7677028859091374
DE,1959,-0.33387632434275505,-0.512510790870089
DE,1960,-0.09569703563964321,-0.2516477603857284
DE,1961,0.13752018454882048,0.031899011879881
DE,1962,0.39058567879587686,0.32678765503611473
DE,1963,0.6337270360136368,0.6160053627470363
DE,1964,0.7528166803651928,0.7974752969970262
DE,1965,0.7379304748212483,0.820159038778275
DE,1966,0.5940304878964515,0.7124112653173434
DE,1967,0.4600546380009512,0.54795413740329
DE,1968,0.395547747310525,0.38349700948923665
DE,1969,0.395547747310525,0.32678765503611473
DE,1970,0.40547188433982134,0.33245859048142695
DE,1971,0.46501670651559934,0.3551423322626757
DE,1972,0.6089166934403961,0.46856104116891945
DE,1973,0.7627408173944892,0.6727147172001582
DE,1974,0.9314511468925267,0.9052230704579578
DE,1975,1.03069251718549,1.0866930047079477
DE,1976,1.03069251718549,1.1093767464891966
DE,1977,1.005882174612249,1.0526673920360747
DE,1978,1.0158063116415454,1.0186417793642015
DE,1979,0.9909959690683047,0.9846161666923284
DE,1980,1.000920106097601,0.9052230704579578
DE,1981,0.9959580375829528,0.9449196185751431
DE,1982,0.9314511468925267,0.9789452312470162
DE,1983,0.8719063247167487,0.973274295801704
DE,1984,0.8619821876874524,0.9279068122392066
DE,1985,0.8073994340263226,0.8882102641220213
DE,1986,0.6783856526454703,0.7804624906610897
DE,1987,0.5394477342353218,0.6273472336376607
DE,1988,0.3260787881054507,0.37782607404392443
DE,1989,0.15240639009276505,0.17934333345799794
DE,1990,0.05812708831444993,0.08860836633300292
DE,1991,0.008506403167968298,0.04324088277050544
DE,1992,-0.09073496712499497,-0.04749408435448953
DE,1993,-0.19493840593260645,-0.13822905147948455
DE,1994,-0.27433150216697705,-0.21762214771385519
DE,1995,-0.2991418447402179,-0.302686179393538
DE,1996,-0.3388383928574032,-0.33671179206541113
DE,1997,-0.4033452835478293,-0.3820792756279086
DE,1998,-0.4331176946357183,-0.4387886300810305
DE,1999,-0.4380797631503665,-0.46147237186227924
DE,2000,-0.4083073520624775,-0.4444595655263427
DK,1952,-1.530929548132533,-1.7604527372278462
DK,1953,-1.1550311931613406,-1.393215634675345
DK,1954,-0.906453248744907,-0.9844045205131265
DK,1955,-0.6214980441699708,-0.6933864392451067
DK,1956,-0.13646790872327097,-0.3607943463673696
DK,1957,0.2636819530202565,0.04801676779484882
DK,1958,0.5728886643675276,0.4291118742172559
DK,1959,0.7426492117738727,0.6993429496804173
DK,1960,0.7911522253185426,0.8379229883794744
DK,1961,0.6820204448430351,0.8309939864445216
DK,1962,0.6820204448430351,0.8309939864445216
DK,1963,0.6941461982292026,0.7963489767697572
DK,1964,0.5789515410606115,0.5884789187211718
DK,1965,0.44556825381276904,0.4083248684123974
DK,1966,0.37887661018884783,0.283602833583246
DK,1967,0.421316747040434,0.283602833583246
DK,1968,0.6395803079914489,0.41525387034735023
DK,1969,0.8396552388632127,0.7824909728998516
DK,1970,0.9791014028041389,1.011148036753296
DK,1971,1.04579304642806,1.1220120677125416
DK,1972,0.9791014028041389,1.1220120677125416
DK,1973,0.8699696223286314,1.0180770386882487
DK,1974,0.7305234583877052,0.8448519903144274
DK,1975,0.48800839066435525,0.6369819322658417
DK,1976,0.14242441915858153,0.24202882197352885
DK,1977,-0.08190201848551722,-0.014344249619726858
DK,1978,-0.1970966756541084,-0.20142730186345398
DK,1979,-0.2759140726641971,-0.2984333289527939
DK,1980,-0.33047996290195086,-0.3122913328226996
DK,1981,-0.42142311329820714,-0.3538653444324168
DK,1982,-0.5305548937737146,-0.4716583773266153
DK,1983,-0.5851207840114683,-0.5270903928062382
DK,1984,-0.47598900353596074,-0.5894514102208138
DK,1985,-0.28803982605036454,-0.46472937539166237
DK,1986,-0.1425307854163546,-0.30536233088774667
DK,1987,-0.0030846214754284285,-0.14599528638383105
DK,1988,0.15455017254474906,0.061874771664754594
DK,1989,0.3364364733372615,0.30438983938810454
DK,1990,0.48800839066435525,0.5191888993716431
DK,1991,0.6274545546052814,0.6993429496804173
DK,1992,0.5910772944467789,0.6716269419406059
DK,1993,0.43344250042660143,0.5399759051765016
DK,1994,0.2636819530202565,0.3528928529327745
DK,1995,0.13029866577241403,0.15888079875409458
DK,1996,-0.009147498168512219,0.03415876392494314
DK,1997,-0.1546565388025222,-0.09056327090420829
DK,1998,-0.2274110591195272,-0.2152853057333597
DK,1999,-0.21528530573335966,-0.2776463231479354
DK,2000,-0.19103379896102465,-0.24993031540812394
DK,2001,-0.11827927864401967,-0.1737112941236425
EL,1952,-1.161057285283056,-1.1449985315596949
EL,1953,-1.2078953169761926,-1.20066887780068
EL,1954,-1.2322510934566235,-1.2306452180842873
EL,1955,-1.2191364445825452,-1.234927552410517
EL,1956,-1.1797924979603105,-1.2177982151055984
EL,1957,-1.108598689786743,-1.1749748718433022
EL,1958,-1.0167961476681955,-1.097892853971169
EL,1959,-0.9137524779432951,-0.9844109943260839
EL,1960,-0.8125823294861202,-0.8623644660285396
EL,1961,-0.7207797873675726,-0.7488826063834545
EL,1962,-0.628977245249025,-0.6461065825539435
EL,1963,-0.5521628732722811,-0.5604598960293511
EL,1964,-0.5015777990436937,-0.5005072154621363
EL,1965,-0.49033667143734094,-0.481236710994103
EL,1966,-0.49033667143734094,-0.4962248811359067
EL,1967,-0.47722202256326274,-0.5005072154621363
EL,1968,-0.44162511847647895,-0.4790955438309882
EL,1969,-0.39291356551561696,-0.4298486990793475
EL,1970,-0.340454970019304,-0.37631952000147717
EL,1971,-0.28237581071981477,-0.3185080065973772
EL,1972,-0.21492904508169816,-0.2499906573777032
EL,1973,-0.12312650296315054,-0.1664851380162255
EL,1974,-0.02570339704142657,-0.07655611716540338
EL,1975,0.039869847328964564,0.015514070848533578
EL,1976,0.07734027268347378,0.0711844170895187
EL,1977,0.10169604916390476,0.1075842588624705
EL,1978,0.10919013423480661,0.12899593049361863
