country_code,wave,wave_label,sex_clean,n,share
SK,6,"W6
2015",Female,566,56.599999999999994
SK,8,"W8
2024",Female,678,61.8049225159526
TR,4,"W4
2005",Female,163,16.090819348469893
TR,5,"W5
2010",Female,518,24.666666666666668
TR,6,"W6
2015",Female,557,27.85
UK,1,"W1
1991",Female,467,42.84403669724771
UK,2,"W2
1995",Female,479,44.9343339587242
UK,3,"W3
2000",Female,701,46.30118890356671
UK,4,"W4
2005",Female,557,52.646502835538755
UK,5,"W5
2010",Female,832,52.82539682539683
UK,6,"W6
2015",Female,743,45.77942082563155
XK,5,"W5
2010",Female,197,19.351669941060905
XK,8,"W8
2024",Female,214,26.517967781908304
