country_code,wave,wave_label,age_band,n,share
BG,8,"W8
2024",30-34,82,19.71153846153846
BG,8,"W8
2024",35-39,106,25.48076923076923
BG,8,"W8
2024",40-45,133,31.971153846153843
CH,4,"W4
2005",18-24,53,9.013605442176871
CH,4,"W4
2005",25-29,72,12.244897959183673
CH,4,"W4
2005",30-34,115,19.5578231292517
CH,4,"W4
2005",35-39,135,22.95918367346939
CH,4,"W4
2005",40-45,213,36.224489795918366
CH,6,"W6
2015",18-24,53,9.314586994727591
CH,6,"W6
2015",25-29,129,22.671353251318102
CH,6,"W6
2015",30-34,116,20.38664323374341
CH,6,"W6
2015",35-39,131,23.022847100175746
CH,6,"W6
2015",40-45,140,24.604569420035148
CH,8,"W8
2024",18-24,59,11.94331983805668
CH,8,"W8
2024",25-29,66,13.360323886639677
CH,8,"W8
2024",30-34,99,20.040485829959515
CH,8,"W8
2024",35-39,112,22.672064777327936
CH,8,"W8
2024",40-45,158,31.983805668016196
CY,3,"W3
2000",18-24,47,14.920634920634921
CY,3,"W3
2000",25-29,46,14.603174603174605
CY,3,"W3
2000",30-34,52,16.507936507936506
CY,3,"W3
2000",35-39,77,24.444444444444443
CY,3,"W3
2000",40-45,93,29.523809523809526
CY,4,"W4
2005",18-24,35,9.943181818181818
CY,4,"W4
2005",25-29,66,18.75
CY,4,"W4
2005",30-34,68,19.318181818181817
CY,4,"W4
2005",35-39,89,25.28409090909091
CY,4,"W4
2005",40-45,94,26.704545454545453
CY,5,"W5
2010",18-24,30,5.639097744360902
CY,5,"W5
2010",25-29,85,15.977443609022558
CY,5,"W5
2010",30-34,103,19.360902255639097
CY,5,"W5
2010",35-39,131,24.62406015037594
CY,5,"W5
2010",40-45,183,34.3984962406015
CY,6,"W6
2015",18-24,134,18.820224719101123
CY,6,"W6
2015",25-29,225,31.60112359550562
CY,6,"W6
2015",30-34,147,20.646067415730336
CY,6,"W6
2015",35-39,114,16.01123595505618
CY,6,"W6
2015",40-45,92,12.921348314606742
CY,8,"W8
2024",18-24,37,8.525345622119817
CY,8,"W8
2024",25-29,54,12.442396313364055
CY,8,"W8
2024",30-34,97,22.350230414746544
CY,8,"W8
2024",35-39,116,26.72811059907834
CY,8,"W8
2024",40-45,130,29.953917050691242
CZ,3,"W3
2000",18-24,99,14.798206278026907
CZ,3,"W3
2000",25-29,115,17.189835575485798
CZ,3,"W3
2000",30-34,137,20.47832585949178
CZ,3,"W3
2000",35-39,147,21.973094170403588
CZ,3,"W3
2000",40-45,171,25.56053811659193
CZ,4,"W4
2005",18-24,91,14.174454828660435
CZ,4,"W4
2005",25-29,131,20.404984423676012
CZ,4,"W4
2005",30-34,123,19.158878504672895
CZ,4,"W4
2005",35-39,123,19.158878504672895
CZ,4,"W4
2005",40-45,174,27.102803738317753
CZ,5,"W5
2010",18-24,46,8.19964349376114
CZ,5,"W5
2010",25-29,84,14.973262032085561
CZ,5,"W5
2010",30-34,106,18.89483065953654
CZ,5,"W5
2010",35-39,165,29.411764705882355
CZ,5,"W5
2010",40-45,160,28.520499108734406
CZ,6,"W6
2015",18-24,45,7.666098807495741
CZ,6,"W6
2015",25-29,95,16.183986371379895
CZ,6,"W6
2015",30-34,111,18.909710391822827
CZ,6,"W6
2015",35-39,157,26.74616695059625
CZ,6,"W6
2015",40-45,179,30.494037478705284
CZ,8,"W8
2024",18-24,62,10.508474576271185
CZ,8,"W8
2024",25-29,83,14.067796610169491
CZ,8,"W8
2024",30-34,144,24.40677966101695
CZ,8,"W8
2024",35-39,155,26.27118644067797
CZ,8,"W8
2024",40-45,146,24.74576271186441
DE,1,"W1
1991",18-24,351,21.70686456400742
DE,1,"W1
1991",25-29,300,18.552875695732837
DE,1,"W1
1991",30-34,288,17.810760667903523
DE,1,"W1
1991",35-39,310,19.1713048855906
DE,1,"W1
1991",40-45,368,22.758194186765614
DE,2,"W2
1995",18-24,189,13.134120917303683
DE,2,"W2
1995",25-29,266,18.485059068797778
DE,2,"W2
1995",30-34,323,22.446143154968727
DE,2,"W2
1995",35-39,305,21.195274496177902
DE,2,"W2
1995",40-45,356,24.73940236275191
DE,3,"W3
2000",18-24,142,13.79980563654033
DE,3,"W3
2000",25-29,166,16.132167152575317
DE,3,"W3
2000",30-34,215,20.89407191448008
DE,3,"W3
2000",35-39,253,24.586977648202136
DE,3,"W3
2000",40-45,253,24.586977648202136
DE,4,"W4
2005",18-24,120,18.12688821752266
DE,4,"W4
2005",25-29,110,16.61631419939577
DE,4,"W4
2005",30-34,112,16.91842900302115
DE,4,"W4
2005",35-39,143,21.6012084592145
DE,4,"W4
2005",40-45,177,26.73716012084592
DE,5,"W5
2010",18-24,156,12.91390728476821
DE,5,"W5
2010",25-29,219,18.129139072847682
DE,5,"W5
2010",30-34,206,17.052980132450333
DE,5,"W5
2010",35-39,251,20.778145695364238
DE,5,"W5
2010",40-45,376,31.125827814569533
DE,6,"W6
2015",18-24,133,13.380281690140844
DE,6,"W6
2015",25-29,173,17.404426559356136
DE,6,"W6
2015",30-34,195,19.61770623742455
DE,6,"W6
2015",35-39,205,20.62374245472837
DE,6,"W6
2015",40-45,288,28.973843058350102
DE,8,"W8
2024",18-24,69,13.043478260869565
DE,8,"W8
2024",25-29,104,19.659735349716446
DE,8,"W8
2024",30-34,89,16.824196597353495
DE,8,"W8
2024",35-39,144,27.22117202268431
DE,8,"W8
2024",40-45,123,23.251417769376182
DK,1,"W1
1991",18-24,100,12.18026796589525
DK,1,"W1
1991",25-29,164,19.97563946406821
DK,1,"W1
1991",30-34,180,21.92448233861145
DK,1,"W1
1991",35-39,187,22.77710109622412
DK,1,"W1
1991",40-45,190,23.142509135200974
DK,2,"W2
1995",18-24,109,16.5402124430956
DK,2,"W2
1995",25-29,109,16.5402124430956
DK,2,"W2
1995",30-34,140,21.2443095599393
DK,2,"W2
1995",35-39,149,22.610015174506827
DK,2,"W2
1995",40-45,152,23.06525037936267
DK,3,"W3
2000",18-24,128,13.389121338912133
DK,3,"W3
2000",25-29,164,17.154811715481173
DK,3,"W3
2000",30-34,198,20.711297071129707
DK,3,"W3
2000",35-39,230,24.05857740585774
DK,3,"W3
2000",40-45,236,24.686192468619247
DK,4,"W4
2005",18-24,86,13.65079365079365
DK,4,"W4
2005",25-29,105,16.666666666666664
DK,4,"W4
2005",30-34,134,21.26984126984127
DK,4,"W4
2005",35-39,128,20.317460317460316
DK,4,"W4
2005",40-45,177,28.095238095238095
DK,5,"W5
2010",18-24,86,16.195856873822976
DK,5,"W5
2010",25-29,65,12.24105461393597
DK,5,"W5
2010",30-34,92,17.325800376647834
DK,5,"W5
2010",35-39,110,20.715630885122412
DK,5,"W5
2010",40-45,178,33.52165725047081
DK,6,"W6
2015",18-24,67,14.955357142857142
DK,6,"W6
2015",25-29,65,14.508928571428573
DK,6,"W6
2015",30-34,69,15.401785714285715
DK,6,"W6
2015",35-39,98,21.875
DK,6,"W6
2015",40-45,149,33.25892857142857
DK,8,"W8
2024",18-24,71,16.359447004608295
DK,8,"W8
2024",25-29,57,13.13364055299539
DK,8,"W8
2024",30-34,80,18.433179723502306
DK,8,"W8
2024",35-39,104,23.963133640552993
DK,8,"W8
2024",40-45,122,28.110599078341014
EE,3,"W3
2000",18-24,88,14.839797639123104
EE,3,"W3
2000",25-29,95,16.020236087689714
EE,3,"W3
2000",30-34,128,21.585160202360875
EE,3,"W3
2000",35-39,128,21.585160202360875
EE,3,"W3
2000",40-45,154,25.96964586846543
EE,4,"W4
2005",18-24,52,15.568862275449103
EE,4,"W4
2005",25-29,56,16.766467065868262
EE,4,"W4
2005",30-34,60,17.964071856287426
EE,4,"W4
2005",35-39,69,20.65868263473054
EE,4,"W4
2005",40-45,97,29.041916167664674
EE,5,"W5
2010",18-24,50,10.1010101010101
EE,5,"W5
2010",25-29,76,15.353535353535353
EE,5,"W5
2010",30-34,99,20
EE,5,"W5
2010",35-39,127,25.656565656565654
EE,5,"W5
2010",40-45,143,28.888888888888886
EE,6,"W6
2015",18-24,54,10.8
EE,6,"W6
2015",25-29,88,17.599999999999998
EE,6,"W6
2015",30-34,110,22
EE,6,"W6
2015",35-39,105,21
EE,6,"W6
2015",40-45,143,28.599999999999998
EE,8,"W8
2024",18-24,23,5.897435897435897
EE,8,"W8
2024",25-29,43,11.025641025641026
EE,8,"W8
2024",30-34,84,21.53846153846154
EE,8,"W8
2024",35-39,96,24.615384615384617
EE,8,"W8
2024",40-45,144,36.92307692307693
EL,1,"W1
1991",18-24,93,15.121951219512194
EL,1,"W1
1991",25-29,103,16.7479674796748
EL,1,"W1
1991",30-34,138,22.439024390243905
EL,1,"W1
1991",35-39,120,19.51219512195122
EL,1,"W1
1991",40-45,161,26.178861788617887
EL,2,"W2
1995",18-24,100,15.174506828528072
EL,2,"W2
1995",25-29,151,22.91350531107739
EL,2,"W2
1995",30-34,98,14.87101669195751
EL,2,"W2
1995",35-39,145,22.003034901365705
EL,2,"W2
1995",40-45,165,25.03793626707132
EL,3,"W3
2000",18-24,142,13.333333333333334
EL,3,"W3
2000",25-29,222,20.845070422535212
EL,3,"W3
2000",30-34,238,22.347417840375584
EL,3,"W3
2000",35-39,216,20.281690140845072
EL,3,"W3
2000",40-45,247,23.1924882629108
EL,4,"W4
2005",18-24,66,9.777777777777779
EL,4,"W4
2005",25-29,115,17.037037037037038
EL,4,"W4
2005",30-34,145,21.48148148148148
EL,4,"W4
2005",35-39,176,26.074074074074073
EL,4,"W4
2005",40-45,173,25.62962962962963
EL,5,"W5
2010",18-24,63,9.559939301972687
EL,5,"W5
2010",25-29,99,15.022761760242792
EL,5,"W5
2010",30-34,137,20.789074355083457
EL,5,"W5
2010",35-39,153,23.21699544764795
EL,5,"W5
2010",40-45,207,31.41122913505311
EL,6,"W6
2015",18-24,48,7.868852459016394
EL,6,"W6
2015",25-29,101,16.557377049180328
